jsonStructure,Group1,Group2,Parameter,type,pattern,pattern,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
header,,,transactionId,string,($UUID RFC4122),($UUID RFC4122),f81d4fae-7dec-11d0-a765-00a0c91e6bf6,Externe Transaktions-Id zur eindeutigen Identifikation der Anfrage der MaLo-ID der Marktlokation des sendenden Marktpartners.,T,transaktionsdaten,vorgangsnummer,
header,,,creationDateTime ,string,"20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\d(\.[\d]{1,4})?Z","20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\d(\.[\d]{1,4})?Z",2023-08-01T12:30:00.1704Z,Zeitpunkt an dem der Aufruf erstellt wurde,T,transaktionsdaten,nachrichtendatum,
header,,,initialTransactionId,string,($UUID RFC4122),($UUID RFC4122),f81d4fae-7dec-11d0-a765-00a0c91e6bf6,Zur Angabe des Idempodenzschlüssel im Falle eines Retry.,T,transaktionsdaten,idempodenzschluessel,
query,,,referenceID,string,($UUID RFC4122),($UUID RFC4122),f81d4fae-7dec-11d0-a765-00a0c91e6bf6,"Externe Vorgangsreferenz zur eindeutigen Identifikation der ursprünglichen Anfrage (Wert aus transactionId, Schritt1 des UC Ermittlung der MaLo-ID der Marktlokation).",T,transaktionsdaten,vorgangsreferenznummer,
body,dataMarketLocation,,,Schema,,,,Schemarahmen für dataMarketLocation,,MARKTLOKATION[],,
body,dataMarketLocation,,maloId,string,\d{11},\d{11},57685676748,Identifiziert die Marktlokation mittels einer eindeutigen ID,S,MARKTLOKATION[],marktlokationsId,
body,dataMarketLocation,,energyDirection,array,"consumption, production","consumption, production",consumption,Energieflussrichtung der Marktlokation,S,MARKTLOKATION[],energierichtung,"consumption <-> AUSSP
production <-> EINSP"
body,dataMarketLocation,,measurementTechnologyClassification,array,"intelligentMeasuringSystem, conventionalMeasuringSystem, noMeasurement","intelligentMeasuringSystem, conventionalMeasuringSystem, noMeasurement",intelligentMeasuringSystem,Angabe der messtechnischen Einordung der Marktlokation,S,MARKTLOKATION[],messtechnischeEinordnung,"intelligentMeasuringSystem <-> IMS
conventionalMeasuringSystem <-> KME_MME
noMeasurement <-> KEINE_MESSUNG"
body,dataMarketLocation,,optionalChangeForecastBasis,array,"possible, notPossible","possible, notPossible",possible,Wahlrecht zur Änderung der Prognosegrundlage,S,BILANZIERUNG[],wahlrechtPrognosegrundlage,"possible <-> DURCH_LF
notPossible  <-> DURCH_LF_NICHT_GEGEBEN  (NICHT_WEGEN_GROSSEN_VERBRAUCHS, NICHT_WEGEN_EIGENVERBRAUCH, NICHT_WEGEN_TAGES_VERBRAUCH, NICHT_WEGEN_ENWG)"
body,dataMarketLocation,dataMarketLocationProperties,,Schema,,,,Schemarahmen für dataMarketLocationProperties,S,,,
body,dataMarketLocation,dataMarketLocationProperties,marketLocationProperty,array,"customerFacility, nonActice, standard","customerFacility, nonActice, standard",standard,"Eigenschaft der Marktlokation. nonActice=ruhende Marktlokation, customerFacility=Marktlokation ist eine Kundenanlage, standard=alle ""Standard"" Marktlokationen die nicht unter die Eigenschaft ""ruhende Marktlokation"" und ""Kundenanlage"" fallen.",S,MARKTLOKATION[].marktlokationsTyp[],typ,"customerFacility <-> KUNDENANLAGE
nonActice <-> RUHENDE_MARKTLOKATION
standard <-> STANDARD_MARKTLOKATION"
body,dataMarketLocation,dataMarketLocationProperties,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,MARKTLOKATION[].marktlokationsTyp[],gueltigAb,
body,dataMarketLocation,dataMarketLocationProperties,executionTimeUntil	,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,MARKTLOKATION[].marktlokationsTyp[],gueltigBis,
body,dataMarketLocation,dataMarketLocationNetworkOperators,,Schema,,,,Schemarahmen für dataMarketLocationNetworkOperators,S,,,
body,dataMarketLocation,dataMarketLocationNetworkOperators,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"MARKTLOKATION[].marktrollen[marktrolle=""NB""]",rollencodenummer,
body,dataMarketLocation,dataMarketLocationNetworkOperators,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""NB""]",zuordnungVon,
body,dataMarketLocation,dataMarketLocationNetworkOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""NB""]",zuordnungBis,
body,dataMarketLocation,dataMarketLocationMeasuringPointOperators,,Schema,,,,Schemarahmen für dataMarketLocationMeasuringPointOperators,S,,,
body,dataMarketLocation,dataMarketLocationMeasuringPointOperators,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"MARKTLOKATION[].marktrollen[marktrolle=""MSB""]",rollencodenummer,
body,dataMarketLocation,dataMarketLocationMeasuringPointOperators,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""MSB""]",zuordnungVon,
body,dataMarketLocation,dataMarketLocationMeasuringPointOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""MSB""]",zuordnungBis,
body,dataMarketLocation,dataMarketLocationTransmissionSystemOperators,,Schema,,,,Schemarahmen für dataMarketLocationTransmissionSystemOperators,S,,,
body,dataMarketLocation,dataMarketLocationTransmissionSystemOperators,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"MARKTLOKATION[].marktrollen[marktrolle=""UENB""]",rollencodenummer,
body,dataMarketLocation,dataMarketLocationTransmissionSystemOperators,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""UENB""]",zuordnungVon,
body,dataMarketLocation,dataMarketLocationTransmissionSystemOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""UENB""]",zuordnungBis,
body,dataMarketLocation,dataMarketLocationSuppliers,,Schema,,,,Schemarahmen für dataMarketLocationSuppliers,S,,,
body,dataMarketLocation,dataMarketLocationSuppliers,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"MARKTLOKATION[].marktrollen[marktrolle=""LF""]",rollencodenummer,
body,dataMarketLocation,dataMarketLocationSuppliers,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""LF""]",zuordnungVon,
body,dataMarketLocation,dataMarketLocationSuppliers,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""LF""]",zuordnungBis,
body,dataMarketLocation,dataMarketLocationName,,Schema,,,,Schemarahmen für dataMarketLocationName,S,,,
body,dataMarketLocation,dataMarketLocationName,surnames,string,,,Becker,Angabe des Namen des Kunden,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",name1,
body,dataMarketLocation,dataMarketLocationName,firstnames,string,,,Michael,Angabe des Vornamen des Kunden,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",name2,
body,dataMarketLocation,dataMarketLocationName,title,string,,,Prof. Dr.,Angabe des Titels der natürlichen Person,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",anrede,
