Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,37000,37001,37002,,,,,,,,,,,,,,,,,,,,
0300,33,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=WECHSELPROZESSE].ansprechpartner,nachname,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0310,34,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=WECHSELPROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Stammdatenprozesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,35,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Stammdatenprozesse,NAD+Z14+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z14 Ansprechpartner Stammdatenprozesse,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = STAMMDATENPROZESSE

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z14 -> STAMMDATENPROZESSE,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,36,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=STAMMDATENPROZESSE].ansprechpartner,nachname,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0310,37,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=STAMMDATENPROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Einspeiseprozesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,38,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Einspeiseprozesse,NAD+Z16+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z16 Ansprechpartner Einspeiseprozesse,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = EINSPEISEPROZESSE

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z16 -> EINSPEISEPROZESSE,,,x,x,,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,39,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=EINSPEISEPROZESSE].ansprechpartner,nachname,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0310,40,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=EINSPEISEPROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Abrechnungsprozesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,41,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Abrechnungsprozesse,NAD+Z17+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z17 Ansprechpartner Abrechnungsprozesse,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = ABRECHNUNGSPROZESSE

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z17 -> ABRECHNUNGSPROZESSE,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,42,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=ABRECHNUNGSPROZESSE].ansprechpartner,nachname,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0310,43,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=ABRECHNUNGSPROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner MMMA Prozesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,44,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner MMMA Prozesse,NAD+Z18+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z18 Ansprechpartner MMMA-Prozesse,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = MMMA_PROZESSE

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z18 -> MMMA_PROZESSE,,,x,x,,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,45,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=MMMA_PROZESSE].ansprechpartner,nachname,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0310,46,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=MMMA_PROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Bewegungsdaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,47,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Bewegungsdaten,NAD+Z19+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z19 Ansprechpartner Bewegungsdaten,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = BEWEGUNGSDATEN

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z19 -> BEWEGUNGSDATEN,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,48,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=BEWEGUNGSDATEN].ansprechpartner,nachname,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
0310,49,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=BEWEGUNGSDATEN].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Prozesse zur Unterbrechung und Wiederherstellung der Anschlussnutzung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,50,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Prozesse zur Unterbrechung und Wiederherstellung der Anschlussnutzung,NAD+Z20+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z20 Ansprechpartner Sperr-/Entsperrprozesse,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = ENT_SPERR_PROZESSE

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z20 -> ENT_SPERR_PROZESSE,,,x,x,,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,51,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=ENT_SPERR_PROZESSE].ansprechpartner,nachname,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0310,52,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=ENT_SPERR_PROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Bilanzierungsprozesse / Bilanzkreismanagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,53,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Bilanzierungsprozesse / Bilanzkreismanagement,NAD+Z21+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z21 Ansprechpartner Bilanzierungsprozesse / Bilanzkreismanagement,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = BILANZIERUNGSPROZESSE

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z21 ->  BILANZIERUNGSPROZESSE,,,x,x,,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,54,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=BILANZIERUNGSPROZESSE].ansprechpartner,nachname,,,,x,x,,,,,,,,,,,,,,,,,,,,,
0310,55,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=BILANZIERUNGSPROZESSE].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,,,,,,,,,,,,,,,,,,,,,
0150,,SG4,C,D,200000,1,1,Ansprechpartner Technischer Netzanschluss für Neuanlagen und Anlagenumbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,56,NAD,M,M,1,1,1,Name und Anschrift Ansprechpartner Technischer Netzanschluss für Neuanlagen und Anlagenumbau,NAD+Z33+++Unternehmensname:::::Z02+Teststraße::815b:Musterortsteil+Entenhausen++10010+DE,Z33 Ansprechpartner technischer Netzanschluss für Neuanlagen und Anlagenumbau,S,kommunikationsdaten.kommunikationsangaben.ansprechpartner,"kommunikationsrolle = NETZANSCHLUSS_ANLAGEN

name1
name2
name3
name4
anrede
partneradresse (as p)
p.postleitzahl
p.ort
p.strasse
p.hausnummer
p.postfach
p.adresszusatz
p.landescode
p.ortsteil",Z33 -> NETZANSCHLUSS_ANLAGEN,,,,x,,,,,,,,,,,,,,,,,,,,,
0290,,SG7,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,57,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:Abteilung XY,IC Informationskontakt,S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=NETZANSCHLUSS_ANLAGEN].ansprechpartner,nachname,,,,,x,,,,,,,,,,,,,,,,,,,,,
0310,58,COM,C,R,5,3,3,Kommunikationsverbindung,COM+?+49322227120:TE,"EM Elektronische Post
TE Telefon
FX Telefax",S,kommunikationsdaten.kommunikationsangaben[kommunikationsrolle=NETZANSCHLUSS_ANLAGEN].ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,,x,,,,,,,,,,,,,,,,,,,,,
0650,59,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+47+1,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,
