Nummer,Nr.,Typ,Status,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,21000,21001,21002,21003,21004,21005,21007,21009,21010,21011,21012,21013,21015,21018,21024,21025,21026,21027,21036,21028,21029,21030,21031,21032,21033,21042,21034,21035,21039,21040,21041,21037,21038
,,UNB,,,,,,,,,,,,,,,MaBiS,MaBiS,MaBiS,MaBiS,MaBiS,MaBiS,,,,,,,,,,,,,,NV,,,,,,,,,,,,redispatch,redispatch
0010,1,UNH,M,M,1,1,0,Nachrichten-Kopfsegment,UNH+324j234poi+IFTSTA:D:18A:UN:2.0g,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0020,2,BGM,M,M,1,1,0,Beginn der Nachricht,BGM+Z03+8531,"Z03 MaBiS Meldung(en)
Z09 WiM Meldung(en)
Z33 GPKE Meldung(en)
Z49 Redispatch Meldung(en)
Z72 - Beendigung einer Konfiguration
Z73 - Bestellung einer Konfiguration
Z86 - EnFG Informationen",T,,"kategorie 1:1
dokumentennummer",,,,Z03,Z03,Z03,Z03,Z03,Z03,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z09,Z33,Z33,Z33,Z33,Z33,Z49,Z49
0030,3,DTM,C,R,9,1,1,Dokumentendatum,DTM+137:CCYYMMDDHHMMZZZ:303,Dokumenten-/Nachrichtendatum/-zeit,T,,nachrichtendatum,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0050,,SG1,C,R,9,1,1,MP-ID Empfänger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,4,NAD,M,M,1,1,1,MP-ID Empfänger,"NAD+MR+9900259000002::9
NAD+MR+9900259000002::293
NAD+MR+9900259000002::332","GS1
DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
DE, DVGW Service & Consult GmbH",T,empfaenger,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0050,,SG1,C,R,9,1,1,MP-ID Absender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,5,NAD,M,M,1,1,1,MP-ID Absender,"NAD+MS+9900259000002::9
NAD+MS+9900259000002::293
NAD+MS+9900259000002::332","GS1
DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
DE, DVGW Service & Consult GmbH",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0070,,SG2,C,O,9,1,2,Ansprechpartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0080,6,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:M Mustermann,Informationskontakt,T,absender.ansprechpartner,nachname,,,,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann,Kann
0090,7,COM,C,R,9,5,3,Kommunikationsverbindung,COM+XXXXXXXXXX:TE,Ansprechpartner Kommunikation EM = Email ; FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,T,absender.ansprechpartner,"bei EM = eMailAdresse
bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0160,,SG4,C,D,99999,99999,1,EQD-RFF-RFF-SG6-SG7-SG7-SG7-SG7-SG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,8,EQD,M,M,1,1,1,Einzelheiten zu Equipment,EQD+Z01+1,Laufende Nummer,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,9,RFF,C,R,999,1,2,Prüfidentifikator,RFF+Z13:21000,"21000 MaBiS / Statusmeldung vom LF an NB/ÜNB
21001 MaBiS / Statusmeldung vom NB an NB
21002 MaBiS / Abweisung vom BIKO an NB/ÜNB
21003 MaBiS / Statusmeldung vom BIKO an NB/ÜNB
21004 MaBiS / Statusmeldung vom BIKO an BKV/NB
21005 MaBiS / Statusmeldung vom BKV/NB an BIKO",,,,,,,21000,21001,21002,21003,21004,21005,,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,10,RFF,C,R,999,1,2,Versionsangabe der betrachteten Summenzeitreihe,RFF+AUU:20110503121544?+00,Referenz auf eine Zeitreihe,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300,,SG6,C,R,9,1,2,LOC-DTM-DTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310,11,LOC,M,M,1,1,2,Meldepunkt,LOC+172+DE0065239988901000000000008560083,Meldepunkt,,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320,12,DTM,C,R,9,1,3,Betrachtungszeitintervall,DTM+492:CCYYMM:610,"Bilanzierungsdatum, -zeit, -periode",,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320,13,DTM,C,R,9,1,3,Zeitpunkt der Statusvergabe,DTM+334:CCYYMMDDHHMMSSZZZ:304,"Statusveränderung, Datum/Zeit",,,,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Prüfstatus Antwort auf Summenzeitreihen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,14,STS,M,M,1,1,2,Prüfstatus Antwort auf Summenzeitreihen,STS+Z01+Z08+A01:E_0007,"Z01 Prüfstatus Antwort auf Summenzeitreihen
+
Z07 Zeitreihe akzeptiert
Z08 Zeitreihe nicht akzeptiert
+
E_0007 EBD Nr. E_0007
E_0040 EBD Nr. E_0040
E_0041 EBD Nr. E_0041
E_0093 EBD Nr. E_0093",,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Abweisung der Summenzeitreihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,15,STS,M,M,1,1,2,Abweisung der Summenzeitreihe,STS+Z02++A01:E_0008,"Z02 Abweisung der Summenzeitreihe
++
E_0007 EBD Nr. E_0007
E_0008 EBD Nr. E_0008
E_0023 EBD Nr. E_0023
E_0029 EBD Nr. E_0029
E_0036 EBD Nr. E_0036
E_0038 EBD Nr. E_0038
E_0040 EBD Nr. E_0040
E_0041 EBD Nr. E_0041
E_0062 EBD Nr. E_0062
E_0063 EBD Nr. E_0063
E_0064 EBD Nr. E_0064
E_0065 EBD Nr. E_0065
E_0073 EBD Nr. E_0073
E_0080 EBD Nr. E_0080
E_0093 EBD Nr. E_0093
E_0098 EBD Nr. E_0098
E_0099 EBD Nr. E_0099",,,,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Prüfstatus zur Summenzeitreihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,16,STS,M,M,1,1,2,Prüfstatus zur Summenzeitreihe,STS+Z03+Z08+A01:E_0062,"Z03 Prüfstatus zur Summenzeitreihe
+
Z07 Zeitreihe akzeptiert
Z08 Zeitreihe nicht akzeptiert 
+
E_0062 EBD Nr. E_0062
E_0063 EBD Nr. E_0063
E_0064 EBD Nr. E_0064
E_0065 EBD Nr. E_0065
E_0098 EBD Nr. E_0098
E_0099 EBD Nr. E_0099",,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Datenstatus zur Summenzeitreihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,17,STS,M,M,1,1,2,Datenstatus zur Summenzeitreihe,STS+Z04+A03:E_0026,"Z04 Datenstatus zur Summenzeitreihe
+
E_0026 EBD Nr. E_0026
E_0042 EBD Nr. E_0042
E_0043 EBD Nr. E_0043
E_0053 EBD Nr. E_0053
E_0054 EBD Nr. E_0054
E_0055 EBD Nr. E_0055
E_0056 EBD Nr. E_0056
E_0057 EBD Nr. E_0057
E_0058 EBD Nr. E_0058
E_0059 EBD Nr. E_0059
E_0060 EBD Nr. E_0060
E_0061 EBD Nr. E_0061
E_0066 EBD Nr. E_0066
E_0067 EBD Nr. E_0067
E_0075 EBD Nr. E_0075
E_0076 EBD Nr. E_0076
E_0077 EBD Nr. E_0077
E_0082 EBD Nr. E_0082
E_0083 EBD Nr. E_0083
E_0084 EBD Nr. E_0084",,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,,SG7,C,D,99,1,2,Abweisung Statusmeldung/-änderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0340,18,STS,M,M,1,1,2,Abweisung Statusmeldung/-änderung,STS+Z13++A01:E_0021,"Z13 Abweisung Statusmeldung/-änderung 
++
E_0019 EBD Nr. E_0019
E_0021 EBD Nr. E_0021
E_0025 EBD Nr. E_0025
E_0030 EBD Nr. E_0030
E_0074 EBD Nr. E_0074
E_0081 EBD Nr. E_0081",,,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0560,,SG14,C,D,99999,99999,1,"CNI-LOC-SG15-SG15-SG15-SG15-SG15-SG15-SG15-
SG15-SG15-SG15-SG15-SG15-SG15-SG15-SG15-SG15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,19,CNI,M,M,1,1,1,Sendungsdaten,CNI+1,Vorgangsnummer,S,statusmitteilung,positionsdaten.positionsnummer,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0580,20,LOC,C,D,9,1,2,Meldepunkt,LOC+172+DE0065239988901000000000008560083,Meldepunkt,S,"Auf jeweiliges BO:

marktlokation
messlokation
netzlokation
steuerbare_ressource","

marktlokationsId
messlokationsId
netzlokationsId
ressourcenId",,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,,,
0600,,SG15,M,D,99,1,2,MSB-Wechselstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,21,STS,M,M,1,1,2,MSB-Wechselstatus,STS+Z10+Z13+E17:S_0057,"Z10 MSB-Wechsel nach MsbG 
+
Z13 gescheitert
Z14 erfolgreich
209 Lieferung, geplant 
+
E17 Ablehnung wg. Fristüberschreitung
ZI1 Wechsel auf iMS
ZI2 Beibehaltung der bisherigen Messtechnik
:
G_0055 Codeliste Gas Nr. G_0055
S_0057 Codeliste Strom Nr. S_0057","S


T","statusmitteilung
  

","statusObjekt = MSBWECHSEL
auftragsstatus (ENUM)


antwortstatus
antwortstatusCodeliste","Z13 -> GESCHEITERT
Z14 -> ERFOLGREICH
209 -> LIEFERUNG_GEPLANT",,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,
0620,22,RFF,C,R,999,1,3,Prüfidentifikator,"RFF+Z13:21007
RFF+Z13:21009
RFF+Z13:21010
RFF+Z13:21011
RFF+Z13:21012
RFF+Z13:21013
RFF+Z13:21015
RFF+Z13:21018","21007 WiM / Statusmeldung (Planungszeitpunkt) vom NB an MSBA
21009 WiM / Statusmeldung (gescheitert) vom MSBN an NB
21010 WiM / Statusmeldung (erfolgreich) vom MSBN an NB
21011 WiM / Statusmeldung (MSB/Scheitermeldung) vom NB an MSBN / MSBA / LF
21012 WiM / Statusmeldung (erfolgreich) vom NB an MSBN
21013 WiM / Statusmeldung (gescheitert) vom NB an MSBN / MSBA / LF
21015 WiM / Informationsmeldung (erfolgreich) vom NB an MSBA
21018 WiM / Statusmeldung vom NB an MSBA",T,,pruefidentifikator,,,,,,,,,,21007,21009,21010,21011,21012,21013,21015,21018,,,,,,,,,,,,,,,,,,,
0620,23,RFF,C,D,999,1,3,Referenz Nachrichtennummer,RFF+ACW:8901308942,Referenznummer einer vorangegangenen Nachricht,T,,vorgangsreferenznummer,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
0620,24,RFF,C,D,999,1,3,Referenz Vorgangsnummer,RFF+ADY:3,Mitteilungsnummer,T,,mitteilungsnummer,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
620,25,RFF,C,D,999,1,3,Referenz Vorgangsnummer (aus Anfragenachricht),RFF+TN:NNV1234,Referenz Vorgangsnummer (aus Anfragenachricht),T,,anfragereferenznummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0630,26,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne,"DTM+293:CCYYMMDDHHMMZZZ:303
DTM+76:CCYYMMDDHHMMZZZ:303 ","293 Fertigstellungsdatum/-zeit
76 Lieferdatum/-zeit, geplant",T,,"fertigstellungsdatum
lieferdatum",UTC -> 303,,,,,,,,,76,,293,,293,,x,x,,,,,,,,,,,,,,,,,,,
0730,,SG17,C,D,9,1,3,Messstellenbetreiber an der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740,27,NAD,M,M,1,1,3,Messstellenbetreiber an der Messlokation,NAD+DEB+1234567890128::9,"DEB Messstellenbetreiber
+
9 GS1
293 DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
332 DE, DVGW Service & Consult GmbH",S,messlokation.marktrollen[marktrolle=MSB],"rollencodenummer
rollencodetyp",,,,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,
0600,,SG15,M,D,99,1,2,Status des Umbaus der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,28,STS,M,M,1,1,2,Status des Umbaus der Messlokation,STS+Z15+Z13+A01:E_0286,"Z15 Messstellenumbau
+
Z13 gescheitert
Z14 erfolgreich
+
Z74 kein Zugang
Z75 Kommunikationsstörung","S

T",statusmitteilung,"statusObjekt = UMBAUMELO
auftragsstatus (ENUM)

antwortstatus
antwortstatusCodeliste","Z13 -> GESCHEITERT
Z14 -> ERFOLGREICH",,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,
0620,29,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21024,"21024 WiM / Statusmeldung (erfolgreich) vom MSB an LF
21025 WiM / Statusmeldung (gescheitert) vom MSB an LF
21026 WiM / Statusmeldung (erfolgreich) vom MSB an NB
21027 WiM / Statusmeldung (gescheitert) vom MSB an NB / MSB",T,,pruefidentifikator,,,,,,,,,,,,,,,,,,21024,21025,21026,21027,,,,,,,,,,,,,,,
0630,30,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne,DTM+293:CCYYMMDDHHMMZZZ:303,Fertigstellungsdatum/-zeit,T,,fertigstellungsdatum,UTC -> 303,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,31,GID,M,M,1,1,3,Sendungspositionseinzelheiten,GID+1,Sendungsposition,T,,sendungsposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
1090,32,FTX,C,R,9,1,4,Freier Text,FTX+ACB+++Info1:Info2:Info3:Info4:Info5,Zusätzliche Informationen (für allgemeine Hinweise),S,statusmitteilung,positionsdaten.allgemeineInformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0600,,SG15,M,D,99,1,2,Turnusauslesungsstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,33,STS,M,M,1,1,2,Turnusauslesungsstatus,STS+Z12+Z13+ZD8:G_0077,"Z12 Ab-/Auslesung
Z13 gescheitert
G_0077 Codeliste Gas Nr. G_0077","S


T","statusmitteilung


","statusObjekt = TURNUSAUSLESUNG
auftragsstatus (ENUM)

antwortstatus
antwortstatusCodeliste
",Z13 -> GESCHEITERT,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
0620,34,RFF,C,R,999,1,3,Prüfidentifikator,RFF+Z13:21028,21028 WiM / Informationsmeldung vom MSB an NB,T,,pruefidentifikator,,,,,,,,,,,,,,,,,,,,,,,21028,,,,,,,,,,,,,
0630,35,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne,DTM+7:CCYYMMDDHHMMZZZ:303,Gültigkeitsdatum/-zeit,T,,gueltigAb,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
0600,,SG15,M,D,99,1,2,Ersteinbau iMS Planungsstatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610,36,STS,M,M,1,1,2,Ersteinbau iMS Planungsstatus,STS+Z19+Z31+A01:E_0233,"Z19 Ersteinbau iMS
+
Z17 geplannt
Z30 zugestimmt
Z31 widersprochen
+
E_0233 EBD Nr. E_0233","S


T",statusmitteilung,"statusObjekt = ERSTEINBAUIMS
auftragsstatus (ENUM) 


antwortstatus
antwortstatusCodeliste","Z17 -> GEPLANT
Z30 -> ZUGESTIMMT
Z31 -> WIDERSPROCHEN",,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,
