Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,17101,17126,17127,17102,17103,17104,17110,17114,17115,17116,17117,17119,17120,17122,17123,17121,17118,17113,17001,17009,17002,17003,17004,17005,17006,17007,17008,,,,,,,
1300,82,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z85 Bilanzkreisabrechnung
ZB5 Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen",S,"marktlokation.zaehlwerke.verwendungszwecke

","marktrolle = UENB
zweck","Z85 = BILANZKREISABRECHNUNG
ZB5 = ERMITTLUNG_AUSGEGLICHENHEIT_BILANZKREIS",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Erforderliches Produkt der Tranche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,83,LIN,M,M,1,1,1,Erforderliches Produkt der Tranche,LIN+1+Z16,Erforderliches Produkt der Tranche,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1120,84,PIA,C,R,25,1,2,Erforderliches Messprodukt der Tranche,PIA+5+9991000000143:Z11,Z11 Produkt,S,tranche.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1130,85,IMD,C,D,99,1,2,Leistungsbeschreibung Konfiguration,"IMD++Z64
IMD++Z65","Z64 Neukonfiguration
Z65 Konfiguration unverändert",S,auftrag.positionsdaten,anfragegrund,"Z64 = NEUKONFIGURATION
Z65 = KONFIGURATION_UNVERAENDERT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,86,QTY,C,D,99,1,2,Prozentualer Anteil der Tranche an der erzeugenden Marktlokation,QTY+11:4.12:P1,"11 Aufteilungsmenge
P1 Prozent",S,tranche.aufteilungsmenge,produktCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Basis zur Bildung der Tranchengröße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,87,CCI,M,M,1,1,2,Basis zur Bildung der Tranchengröße,CCI+Z37++ZD1,"ZD1 Prozentual
ZD2 Aufteilungsfaktor auf Basis von Referenzenträger/installierter Leistung",S,TRANCHE[],bildungTranchengroesse,"ZD1 = PROZENTUAL
ZD2 = AUFTEILUNGSFAKTOR",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Netzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,88,CCI,M,M,1,1,2,Messprodukt für Netzbetreiber relevant,CCI+++ZA8,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,89,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z85 Bilanzkreisabrechnung
Z92 Übermittlung an das HKNR",S,tranche.zaehlwerke.verwendungszwecke,"marktrolle = NB
zweck","Z85 = BILANZKREISABRECHNUNG
Z92 = UEBERMITTLUNG_AN_DAS_HKNR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Lieferant relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,90,CCI,M,M,1,1,2,Messprodukt für Lieferant relevant,CCI+++ZA7,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,91,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z47 Endkundenabrechnung
Z85 Bilanzkreisabrechnung",S,tranche.zaehlwerke.verwendungszwecke,"marktrolle = LF
zweck","Z47 = ENDKUNDENABRECHNUNG
Z85 = BILANZKREISABRECHNUNG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Übertragungsnetzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,92,CCI,M,M,1,1,2,Messprodukt für Übertragungsnetzbetreiber relevant,CCI+++ZA9,ÜNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,93,CAV,C,R,10,4,3,Verwendungszweck der Werte,CAV+Z85,"Z85 Bilanzkreisabrechnung
ZB5 Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen",S,tranche.zaehlwerke.verwendungszwecke,"marktrolle = UENB
zweck","Z85 = BILANZKREISABRECHNUNG
ZB5 = ERMITTLUNG_AUSGEGLICHENHEIT_BILANZKREIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,1,2,Referenz auf ID der Tranche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,94,RFF,M,M,1,1,2,Referenz auf ID der Tranche,RFF+Z20:DE000562668020O6G56M11SN51G21M24S,Tranche,S,tranche,tranchenId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Erforderliches Produkt der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,95,LIN,M,M,1,1,1,Erforderliches Produkt der Messlokation,LIN+1+Z19,Z19 Erforderliches Produkt der Messlokation,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
1120,96,PIA,C,R,25,1,2,Erforderliches Produkt der Messlokation,PIA+5+9988000000154:Z11,Z11 Produkt,S,messlokation.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Weitere Beschreibung erforderliches Messprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,97,CCI,M,M,1,1,1,Weitere Beschreibung erforderliches Messprodukt,CCI+Z35,Z35 Beschreibung erforderlicher Wert,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1300,98,CAV,C,R,10,1,3,Notwendigkeit einer zweiten Messung,CAV+ZC9:::Z06,"Z06 vorhanden
Z07 nicht vorhanden",S,messlokation.zaehlwerke,notwendigkeitZweiteMessung,"Z06 = VORHANDEN
Z07 = NICHT_VORHANDEN",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1300,99,CAV,C,R,10,1,3,Werteübermittlung an den NB aufgrund weiterem Verwendungszweck,CAV+Z88:::Z06,"Z06 vorhanden
Z07 nicht vorhanden",S,messlokation.zaehlwerke,werteuebermittlungVerwendungszweck,"Z06 = VORHANDEN
Z07 = NICHT_VORHANDEN",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Zugeordnete Zählzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,100,CCI,M,M,1,1,2,Zugeordnete Zählzeitdefinition,"CCI+Z39++XYZ
CCI+Z41","Z39 Code der Zählzeitdefinition
Z41 Keine Zählzeit für Messprodukt erforderlich",S,messlokation.zaehlwerke.zaehlzeiten,zaehlzeitDefinition,"Z39 = 1:1
Z41 = null",,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
1450,,SG34,C,D,9999,1,2,Referenz auf ID der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,101,RFF,M,M,1,1,2,Referenz auf ID der Messlokation,RFF+Z19:DE000562668020O6G56M11SN51G21M24S,Messlokation,S,"messlokation



zusätzlich:

AUFTRAG.positionsdaten[]","messlokationsId




lokationsId",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt der Netzlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,102,LIN,M,M,1,1,1,Erforderliches Produkt der Netzlokation,LIN+1+Z55,Z55 Erforderliches Produkt der Netzlokation,S,auftrag.positionsdaten,positionsnummer,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,103,PIA,C,R,25,1,2,Erforderliches Produkt der Netzlokation,PIA+5+9991000000656:Z11,Z11 Produkt,S,netzlokation.zaehlwerke,messprodukt,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Netzbetreiber relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,104,CCI,M,M,1,1,2,Messprodukt für Netzbetreiber relevant,CCI+++ZA8,ZA8 NB,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,105,CAV,C,R,10,1,3,Verwendungszweck der Werte,CAV+ZD1,ZD1 Blindarbeitabrechnung / Betriebsführung,S,netzlokation.zaehlwerke.verwendungszwecke,"marktrolle = NB
zweck","ZD1 = BLINDARBEITABRECHNUNG_BETRIEBSFUEHRUNG
ZE1 = ES_LIEGT_KEIN_VERWENDUNGSZWECK_VOR",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Messprodukt für Lieferant relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,106,CCI,M,M,1,1,2,Messprodukt für Lieferant relevant,CI+++ZA7,ZA7 LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,107,CAV,C,R,10,1,3,Verwendungszweck der Werte,CAV+ZD1,"ZD1 Blindarbeitabrechnung / Betriebsführung
ZE1 Es liegt kein Verwendungszweck vor",S,netzlokation.zaehlwerke.verwendungszwecke,"marktrolle = LF
zweck","ZD1 = BLINDARBEITABRECHNUNG_BETRIEBSFUEHRUNG
ZE1 = ES_LIEGT_KEIN_VERWENDUNGSZWECK_VOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,200000,1,Erforderliches Produkt der Steuerbaren Ressource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,108,LIN,M,M,1,1,1,Erforderliches Produkt der Steuerbaren Ressource,LIN+1+Z56,Z56 Erforderliches Produkt der Steuerbaren Ressource,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,109,PIA,C,R,25,1,2,Erforderliches Produkt der Steuerbaren Ressource,PIA+5+9991000002371:Z11,Z11 Produkt,S,"SR aus LOC+172:

STEUERBARE_RESSOURCE[].erforderlicheProdukte[]",produktCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt Schaltzeitdefinitionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,110,LIN,M,M,1,1,1,Erforderliches Produkt Schaltzeitdefinitionen,LIN+1+Z64,Z64 Erforderliches Produkt Schaltzeitdefinitionen,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,111,PIA,C,R,25,1,2,Erforderliches Produkt Schaltzeitdefinitionen,PIA+5+9991000000713:Z11,Z11 Produkt,S,SCHALTZEITDEFINITIONEN.schaltzeiten,konfigurationsprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,112,FTX,C,D,99,1,2,Beschreibung der Reklamation der Konfiguration,FTX+Z19+++X:X:X:X:X',"Z19 Konfiguration wirkt nicht
Z20 Konfiguration wirkt teilweise
Z21 Werte werden nicht nach Vorgaben übermittelt",S,reklamation,"reklamationsgrund
reklamationsgrundBemerkung.bemerkung1
reklamationsgrundBemerkung.bemerkung2
reklamationsgrundBemerkung.bemerkung3
reklamationsgrundBemerkung.bemerkung4
reklamationsgrundBemerkung.bemerkung5","Z19 = KONFIGURATION_WIRKT_NICHT
Z20 = KONFIGURATION_WIRKT_TEILWEISE
Z21 = WERTE_WERDEN_NICHT_NACH_VORGABEN_UEBERMITTELT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,R,999,1,2,Zugeordnete Schaltzeitdefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,113,CCI,M,M,1,1,2,Zugeordnete Schaltzeitdefinition,CCI+Z52++NBX,Z52 Code der Schaltzeitdefinition,S,schaltzeitdefinition.schaltzeiten,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt Leistungskurvendefinitionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,114,LIN,M,M,1,1,1,Erforderliches Produkt Leistungskurvendefinitionen,LIN+1+Z65,Z65 Erforderliches Produkt Leistungskurvendefinitionen,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,115,PIA,C,R,25,1,2,Erforderliches Produkt Leistungskurvendefinitionen,PIA+5+9991000000721:Z11,Z11 Produkt,S,LEISTUNGSKURVENDEFINITIONEN.leistungskurven,konfigurationsprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,116,FTX,C,R,100,1,2,Beschreibung der Reklamation der Konfiguration,FTX+Z19+++X:X:X:X:X',"Z19 Konfiguration wirkt nicht
Z20 Konfiguration wirkt teilweise
Z21 Werte werden nicht nach Vorgaben übermittelt",S,reklamation,"reklamationsgrund
reklamationsgrundBemerkung.bemerkung1
reklamationsgrundBemerkung.bemerkung2
reklamationsgrundBemerkung.bemerkung3
reklamationsgrundBemerkung.bemerkung4
reklamationsgrundBemerkung.bemerkung5","Z19 = KONFIGURATION_WIRKT_NICHT
Z20 = KONFIGURATION_WIRKT_TEILWEISE
Z21 = WERTE_WERDEN_NICHT_NACH_VORGABEN_UEBERMITTELT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,R,999,1,2,Zugeordnete Leistungskurvendefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,117,CCI,M,M,1,1,2,Zugeordnete Leistungskurvendefinition,CCI+Z53++NBF,Z53 Code der Leistungskurvendefinition,S,leistungskurvendefinition.leistungskurven,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,118,LIN,M,M,1,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal,LIN+1+Z66,Z66 Erforderliches Produkt Ad-hoc-Steuerkanal,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,119,PIA,C,R,25,1,2,Erforderliches Produkt Ad-hoc-Steuerkanal,PIA+5+9991000000739:Z11,Z11 Produkt,S,AD_HOC_STEUERKANAL,konfigurationsprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,120,FTX,C,D,99,1,2,Beschreibung der Reklamation der Konfiguration,FTX+Z19+++X:X:X:X:X',"Z19 Konfiguration wirkt nicht
Z20 Konfiguration wirkt teilweise
Z21 Werte werden nicht nach Vorgaben übermittelt",S,reklamation,"reklamationsgrund
reklamationsgrundBemerkung.bemerkung1
reklamationsgrundBemerkung.bemerkung2
reklamationsgrundBemerkung.bemerkung3
reklamationsgrundBemerkung.bemerkung4
reklamationsgrundBemerkung.bemerkung5","Z19 = KONFIGURATION_WIRKT_NICHT
Z20 = KONFIGURATION_WIRKT_TEILWEISE
Z21 = WERTE_WERDEN_NICHT_NACH_VORGABEN_UEBERMITTELT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,121,LIN,M,M,1,1,1,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,LIN+1+Z67,Z67 Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,122,PIA,C,R,25,1,2,Erforderliches Messprodukt für Werte nach Typ 2 aus Backend,PIA+5+9991000000739:Z11,Z11 Produkt,S,WERTE_NACH_TYP2,messprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,123,FTX,C,D,99,1,2,Beschreibung der Reklamation der Konfiguration,FTX+Z19+++X:X:X:X:X',"Z19 Konfiguration wirkt nicht
Z20 Konfiguration wirkt teilweise
Z21 Werte werden nicht nach Vorgaben übermittelt",S,reklamation,"reklamationsgrund
reklamationsgrundBemerkung.bemerkung1
reklamationsgrundBemerkung.bemerkung2
reklamationsgrundBemerkung.bemerkung3
reklamationsgrundBemerkung.bemerkung4
reklamationsgrundBemerkung.bemerkung5","Z19 = KONFIGURATION_WIRKT_NICHT
Z20 = KONFIGURATION_WIRKT_TEILWEISE
Z21 = WERTE_WERDEN_NICHT_NACH_VORGABEN_UEBERMITTELT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,124,LIN,M,M,1,1,1,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,LIN+1+Z68,Z68 Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,125,PIA,C,R,25,1,2,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,PIA+5+9991000000739:Z11,Z11 Produkt,S,WERTE_NACH_TYP2,konfigurationsprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,126,FTX,C,R,99,1,2,Zieladresse URI,FTX+Z17+++X:X',Z17 Zieladresse URI,S,WERTE_NACH_TYP2.zieladresse,zieladresse1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,127,FTX,C,R,99,1,2,Zertifikatsaussteller (Issuer),"FTX+Z24+++SERIALNUMBER = 3, C = DE, O = SM-PKI-DE, CN = T-Systems-EnergyCA.CA:X:X:X:X'",Z24 Aussteller (Issuer),S,WERTE_NACH_TYP2.aussteller,aussteller1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,128,FTX,C,R,99,1,2,Zertifikatsnutzer (Subject),"FTX+Z23+++L = Stadt, SERIALNUMBER = 1, C = DE,OU = Firma GmbH, O = SM-PKI-DE,CN = Firma.EMT.Erweit
erung:X:X:X:X'",Z23 Zertifikatsnutzer (Subject),S,WERTE_NACH_TYP2.zertifikatsNutzer,zertifikatsNutzer1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,129,FTX,C,D,99,1,2,Beschreibung der Reklamation der Konfiguration,FTX+Z19+++X:X:X:X:X',"Z19 Konfiguration wirkt nicht
Z20 Konfiguration wirkt teilweise
Z21 Werte werden nicht nach Vorgaben übermittelt",S,reklamation,"reklamationsgrund
reklamationsgrundBemerkung.bemerkung1
reklamationsgrundBemerkung.bemerkung2
reklamationsgrundBemerkung.bemerkung3
reklamationsgrundBemerkung.bemerkung4
reklamationsgrundBemerkung.bemerkung5","Z19 = KONFIGURATION_WIRKT_NICHT
Z20 = KONFIGURATION_WIRKT_TEILWEISE
Z21 = WERTE_WERDEN_NICHT_NACH_VORGABEN_UEBERMITTELT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,R,999,1,2,Änderungsmöglichkeit der Konfiguration im SMGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,130,CCI,M,M,1,1,2,Änderungsmöglichkeit der Konfiguration im SMGW,CCI+Z54++ZF7,"ZF7 selbstständige Änderungsmöglichkeit erforderlich
ZF8 selbstständige Änderungsmöglichkeit nicht erforderlich",S,WERTE_NACH_TYP2,aenderungsmoeglichkeitKonfiguration,"ZF7 = ERFORDERLICH
ZF8 = NICHT_ERFORDERLICH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,999,2,Schwellwerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,131,CCI,M,M,1,1,2,Schwellwerte,CCI+Z60++9991000001042:::207.22:168.81',Z60 Schwellwerte,S,WERTE_NACH_TYP2,"schwellwerte.konfigurationsprodukt
schwellwerte.obererSchwellwert
schwellwerte.untererSchwellwert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,SG29,C,D,200000,1,1,Erforderliches Produkt Abrechnungsdaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,132,LIN,M,M,1,1,1,Erforderliches Produkt Abrechnungsdaten,LIN+1+Z79,Z79 Bestandteil eines Produktpakets,S,auftrag.positionsdaten,positionsnummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,133,PIA,C,R,25,1,2,Erforderliches Produkt Abrechnungsdaten,PIA+5+9991000002016:Z11,Z11 Produkt,S,MARKTLOKATION[].erforderlichesProduktpaket[].produkt[],produktCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,134,FTX,C,D,99,1,2,Link zur Abtretungserklärung / Vollmacht vom Kunden,FTX+Z13++KWH_2007?+22!KW+https?://www.stadtwerke xy.de/LF_Abtretung?+_23e8rodfhjewrqretgf:X:X:X:X,Z13 Internetseite,T,abtretungserklaerung,"passwort
link1
link2
link3
link4
link5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,SG30,C,D,999,1,2,Produkteigenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,135,CCI,M,M,1,1,2,Produkteigenschaft,CCI+Z66,Z66 Produkteigenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,136,CAV,C,D,10,1,3,Code der Produkteigenschaft,CAV+ZH9:::9991000002131,ZH9 Code der Produkteigenschaft,S,MARKTLOKATION[].erforderlichesProduktpaket[].produkt[],codeProdukteigenschaft,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,137,CAV,C,D,10,1,3,Wertedetails zum Produkt,CAV+ZV4:::11XENBW V O,ZV4 Wertedetails zum Produkt,S,MARKTLOKATION[].erforderlichesProduktpaket[].produkt[],wertedetails,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,138,UNS,M,M,1,1,0,Abschnitts-Kontrollsegment,UNS+S,Trennung von Positions- und Summenteil,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,,,,,,,,
2560,139,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+47+1,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,,,,,,,,
